full_name,Country,National_party,political_group,role
Jiri PELIKAN,Italy,Partito socialista italiano,Socialist Group,Substitute
Fernando PÉREZ ROYO,Spain,Izquierda Unida,Group of the Party of European Socialists,Substitute
Ioannis PESMAZOGLOU,Greece,Komma Dimokratikou Socialismou,Group of the European People's Party (Christian-Democratic Group),Member
Francesco PETRONIO,Italy,Movimento sociale italiano - Destra nazionale,Group of the European Right,Member
Pierre PFLIMLIN,France,Union pour la France en Europe,Group of the European People's Party (Christian-Democratic Group),Member
Alphonsine M.J. PHLIX,Belgium,Christelijke Volkspartij (Europese Volkspartij),Group of the European People's Party (Christian-Democratic Group),Member
Dorothee PIERMONT,Germany,Bündnis 90/die Grünen,Rainbow Group in the European Parliament,Member
René-Emile PIQUET,France,Parti communiste français,Confederal Group of the European United Left/Nordic Green Left,Member
Fritz PIRKL,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian-Democratic Group),Substitute
Ferruccio PISONI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Nino PISONI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Henriette POIRIER,France,Parti communiste français,Communist and Allies Group,Member
Mario POMILIO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Christian PONCELET,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
José Domingo POSADA GONZÁLEZ,Spain,Coalición Nacionalista,Group of the European Radical Alliance,Member
Pierre PRADIER,France,Mouvement des Radicaux de Gauche,Group of the European Radical Alliance,Substitute
Pierre-Benjamin PRANCHÈRE,France,Parti communiste français,Communist and Allies Group,Substitute
Sir Christopher J. PROUT (Lord Kingsland),United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Member
Elda PUCCI,Italy,Partito repubblicano italiano,Liberal and Democratic Reformist Group,Member
Albert PÜRSTEN,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Alonso José PUERTA,Spain,Izquierda Unida,Confederal Group of the European United Left/Nordic Green Left,Member
Eduardo PUNSET I CASALS,Spain,Centro Democràtico y Social,Liberal and Democratic Reformist Group,Member
Ruggero PULETTI,Italy,Partito socialista democratico italiano,Socialist Group,Member
Andrea RAGGIO,Italy,Partito comunista italiano,Group of the Party of European Socialists,Substitute
Giuseppe RAUTI,Italy,Movimento sociale italiano - Destra nazionale,Non-attached,Substitute
Alfredo REICHLIN,Italy,Partito comunista italiano,Communist and Allies Group,Member
Eugène L. REMILLY,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Marc REYMANN,France,Centre des démocrates sociaux,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Sir Brandon RHYS WILLIAMS,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
François M.G.A.Ch.F. ROELANTS DU VIVIER,Belgium,Parti écologiste,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Vice-Chair
Dieter ROGALLA,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Vice-Chair
Hector ROLLAND,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Rosario ROMEO,Italy,Partito repubblicano italiano,Liberal and Democratic Reformist Group,Member
Pino ROMUALDI,Italy,Movimento sociale italiano - Destra nazionale,Group of the European Right,Member
Giorgio ROSSETTI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Tommaso ROSSI,Italy,Partito comunista italiano,Communist and Allies Group,Member
Jean-Pierre ROUX,France,Rassemblement pour la République,Group of the European Democratic Alliance,Member
Mario Giovanni Guerriero RUFFINI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Richie RYAN,Ireland,Fine Gael Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Henri SABY,France,Parti socialiste,Group of the Party of European Socialists,Chair
Bernhard SÄLZER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Jacques SANTER,Luxembourg,Parti chrétien social,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Giacomo SANTINI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Jacques SANTKIN,Belgium,Parti socialiste,Group of the Party of European Socialists,Member
Enrique SAPENA GRANELL,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Pavlos SARLIS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Substitute
Mario SASSANO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Marie-Claire SCAMARONI,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Umberto SCAPAGNINI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
