full_name,Country,National_party,political_group,role
Tiziana BEGHIN,Italy,Movimento 5 Stelle,Non-attached Members,Substitute
Ernest URTASUN,Spain,Iniciativa per Catalunya Verds,Group of the Greens/European Free Alliance,Member
Alain CADEC,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Chair
Nicola DANTI,Italy,Partito Democratico,Renew Europe Group,Substitute
Krzysztof HETMAN,Poland,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),Substitute
Georg MAYER,Austria,Freiheitliche Partei Österreichs,Patriots for Europe Group,Member
Johannes Cornelis van BAALEN,Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Victor BOŞTINARU,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Csaba MOLNÁR,Hungary,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Mike HOOKEM,United Kingdom,United Kingdom Independence Party,Non-attached Members,Substitute
Alyn SMITH,United Kingdom,Scottish National Party,Group of the Greens/European Free Alliance,Member
Elmar BROK,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Filiz HYUSMENOVA,Bulgaria,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Barbara LOCHBIHLER,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Vice-Chair
Richard SULÍK,Slovakia,Sloboda a Solidarita,European Conservatives and Reformists Group,Member
Barbara SPINELLI,Italy,Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left,Vice-Chair
Catherine BEARDER,United Kingdom,Liberal Democrats Party,Renew Europe Group,Substitute
Jarosław WAŁĘSA,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Vice-Chair
Reimer BÖGE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Barbara MATERA,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Vice-Chair
Elisabeth MORIN-CHARTIER,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Cristian Dan PREDA,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Vice-Chair
Ingeborg GRÄSSLE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Chair
Christofer FJELLNER,Sweden,Moderata Samlingspartiet,Group of the European People's Party (Christian Democrats),Substitute
Philippe DE BACKER,Belgium,Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Ska KELLER,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
Raymond FINCH,United Kingdom,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,Substitute
Malin BJÖRK,Sweden,Vänsterpartiet,The Left group in the European Parliament - GUE/NGL,Substitute
Claude MORAES,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Fredrick FEDERLEY,Sweden,Centerpartiet,Renew Europe Group,Member
Elena VALENCIANO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Christine REVAULT D'ALLONNES BONNEFOY,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Ivana MALETIĆ,Croatia,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Substitute
Maria Lidia SENRA RODRÍGUEZ,Spain,Alternativa galega de esquerda en Europa,Confederal Group of the European United Left - Nordic Green Left,Substitute
Roberta METSOLA,Malta,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),Member
Afzal KHAN,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Inma RODRÍGUEZ-PIÑERO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Caterina CHINNICI,Italy,Partito Democratico,Group of the European People's Party (Christian Democrats),Vice-Chair
Angélique DELAHAYE,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Monica MACOVEI,Romania,Partidul Democrat-Liberal,European Conservatives and Reformists Group,Member
Evžen TOŠENOVSKÝ,Czechia,Občanská demokratická strana,European Conservatives and Reformists Group,Substitute
José BOVÉ,France,Europe Écologie,Group of the Greens/European Free Alliance,Substitute
Jeroen LENAERS,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),Substitute
Marijana PETIR,Croatia,Hrvatska seljačka stranka,Group of the European People's Party (Christian Democrats),Substitute
Maria ARENA,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Andi CRISTEA,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Sophia IN 'T VELD,Netherlands,Democraten 66,Renew Europe Group,Member
Fernando MAURA BARANDIARÁN,Spain,"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe,Member
Nadine MORANO,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Substitute
Marielle DE SARNEZ,France,Union pour la démocratie française,Group of the Alliance of Liberals and Democrats for Europe,Member
Marco AFFRONTE,Italy,Movimento 5 Stelle,Group of the Greens/European Free Alliance,Member
Martin SONNEBORN,Germany,Die PARTEI,Non-attached Members,Substitute
Michael THEURER,Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,Member
Claudia ȚAPARDEL,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Emilian PAVEL,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Soraya POST,Sweden,Feministiskt initiativ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Dominique RIQUET,France,Union pour un Mouvement Populaire - Parti Radical,Renew Europe Group,Member
Sofia RIBEIRO,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Joëlle MÉLIN,France,Front national,Identity and Democracy Group,Member
Norica NICOLAI,Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Joëlle BERGERON,France,Sans étiquette,Europe of Freedom and Direct Democracy Group,Substitute
Jean ARTHUIS,France,Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe,Chair
Sylvie GODDYN,France,Front national,Europe of Freedom and Direct Democracy Group,Member
Cătălin Sorin IVAN,Romania,Partidul Social Democrat,Non-attached Members,Substitute
Christian EHLER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Enrique CALVET CHAMBON,Spain,"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe,Substitute
Mercedes BRESSO,Italy,Democratici di Sinistra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Sergio GUTIÉRREZ PRIETO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Dominique MARTIN,France,Front national,Europe of Nations and Freedom Group,Substitute
Miroslav MIKOLÁŠIK,Slovakia,Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),Member
Mady DELVAUX,Luxembourg,Parti ouvrier socialiste luxembourgeois,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Enrico GASBARRA,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Silvia COSTA,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Barbara KUDRYCKA,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Vice-Chair
Peter LIESE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Bogdan Brunon WENTA,Poland,Niezależny,Group of the European People's Party (Christian Democrats),Member
Simona BONAFÈ,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Markus FERBER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),Member
Lieve WIERINCK,Belgium,Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,Member
Angelo CIOCCA,Italy,Lega Nord,Identity and Democracy Group,Substitute
Urszula KRUPA,Poland,Liga Polskich Rodzin,European Conservatives and Reformists Group,Member
Ivari PADAR,Estonia,Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Arndt KOHN,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
André ELISSEN,Netherlands,Partij voor de Vrijheid,Europe of Nations and Freedom Group,Member
Christophe HANSEN,Luxembourg,Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats),Substitute
Stefan GEHROLD,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Igor GRÄZIN,Estonia,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Paloma LÓPEZ BERMEJO,Spain,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,Substitute
Miguel VIEGAS,Portugal,Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left,Substitute
Therese COMODINI CACHIA,Malta,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),Substitute
Seán KELLY,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Substitute
Emil RADEV,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Vice-Chair
Sofia SAKORAFA,Greece,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,Substitute
Juan Fernando LÓPEZ AGUILAR,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Petras AUŠTREVIČIUS,Lithuania,Lietuvos Respublikos liberalų sąjūdis,Renew Europe Group,Substitute
Eva MAYDELL,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Member
Lara COMI,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Member
Sophie MONTEL,France,Front national,Non-attached Members,Member
Emmanouil GLEZOS,Greece,Panellinio Socialistiko Kinima,Confederal Group of the European United Left - Nordic Green Left,Member
Patrick LE HYARIC,France,Front de gauche pour changer d’Europe,Confederal Group of the European United Left - Nordic Green Left,Substitute
Laura AGEA,Italy,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,Substitute
Gianni PITTELLA,Italy,Democratici di Sinistra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Pablo IGLESIAS,Spain,PODEMOS,Confederal Group of the European United Left - Nordic Green Left,Substitute
Iratxe GARCÍA PÉREZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Jordi Vicent SEBASTIA TALAVERA,Spain,COMPROMIS,Group of the Greens/European Free Alliance,Member
Elissavet VOZEMBERG-VRIONIDI,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Chair
Rebecca HARMS,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
David BORRELLI,Italy,Movimento 5 Stelle,Group of the Alliance of Liberals and Democrats for Europe,Member
Davor Ivo STIER,Croatia,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Substitute
Marco VALLI,Italy,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,Substitute
Ángela VALLINA,Spain,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,Member
Inês Cristina ZUBER,Portugal,Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left,Vice-Chair
Maite PAGAZAURTUNDÚA,Spain,"Unión, Progreso y Democracia",Renew Europe Group,Member
Branislav ŠKRIPEK,Slovakia,OBYČAJNÍ ĽUDIA,European Conservatives and Reformists Group,Substitute
Guy VERHOFSTADT,Belgium,Open Vlaamse Liberalen en Democraten,Renew Europe Group,Member
Michaela ŠOJDROVÁ,Czechia,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),Vice-Chair
Nessa CHILDERS,Ireland,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Olga SEHNALOVÁ,Czechia,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Demetris PAPADAKIS,Cyprus,Movement for Social Democracy EDEK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Diane DODDS,United Kingdom,Democratic Unionist Party (Northern Ireland),Non-attached Members,Member
Beatrix von STORCH,Germany,Alternative für Deutschland,Europe of Freedom and Direct Democracy Group,Member
Sergio Gaetano COFFERATI,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Peter LUNDGREN,Sweden,Sverigedemokraterna,European Conservatives and Reformists Group,Member
Zdzisław KRASNODĘBSKI,Poland,Bezpartyjny,European Conservatives and Reformists Group,Member
Patrizia TOIA,Italy,La Margherita,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Alfred SANT,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Francisco José MILLÁN MON,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Agnieszka KOZŁOWSKA,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Member
Michèle RIVASI,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Pier Antonio PANZERI,Italy,Uniti nell'Ulivo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Chair
Miltiadis KYRKOS,Greece,The River,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Louis MICHEL,Belgium,Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe,Member
Françoise GROSSETÊTE,France,Union pour la démocratie française - Parti républicain,Group of the European People's Party (Christian Democrats),Member
Lorenzo FONTANA,Italy,Lega Nord,Europe of Nations and Freedom Group,Substitute
Eleftherios SYNADINOS,Greece,Popular Association – Golden Dawn,Non-attached Members,Substitute
Daniel HANNAN,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Member
Eleonora FORENZA,Italy,Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left,Substitute
Judith SARGENTINI,Netherlands,GroenLinks,Group of the Greens/European Free Alliance,Vice-Chair
Manfred WEBER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),Substitute
Tonino PICULA,Croatia,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Florian PHILIPPOT,France,Front national,Europe of Freedom and Direct Democracy Group,Substitute
Bruno GOLLNISCH,France,Front national,Non-attached Members,Member
Edouard FERRAND,France,Front national,Europe of Nations and Freedom Group,Substitute
Soledad CABEZÓN RUIZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Fernando RUAS,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Marie-Christine VERGIAT,France,Front de gauche pour changer d’Europe,Confederal Group of the European United Left - Nordic Green Left,Substitute
Antanas GUOGA,Lithuania,Lietuvos Respublikos liberalų sąjūdis,Group of the European People's Party (Christian Democrats),Substitute
Jeppe KOFOD,Denmark,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Peter JAHR,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Gilles PARGNEAUX,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Krystyna ŁYBACKA,Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Liadh NÍ RIADA,Ireland,Sinn Féin,Confederal Group of the European United Left - Nordic Green Left,Member
Bernard MONOT,France,Front national,Europe of Freedom and Direct Democracy Group,Substitute
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Jiří MAŠTÁLKA,Czechia,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,Substitute
Bas BELDER,Netherlands,Staatkundig Gereformeerde Partij - Gereformeerd Politiek Verbond - Reformatorisch Politieke Federatie,European Conservatives and Reformists Group,Substitute
Georgios KYRTSOS,Greece,Nea Demokratia,Renew Europe Group,Substitute
Svetoslav Hristov MALINOV,Bulgaria,Blue Coalition,Group of the European People's Party (Christian Democrats),Substitute
Matteo SALVINI,Italy,Lega Nord per l'indipendenza della Padania,Europe of Nations and Freedom Group,Substitute
Izaskun BILBAO BARANDICA,Spain,Partido Nacionalista Vasco,Renew Europe Group,Member
Helmut SCHOLZ,Germany,DIE LINKE.,The Left group in the European Parliament - GUE/NGL,Member
Pavel SVOBODA,Czechia,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),Chair
Bodil VALERO,Sweden,Miljöpartiet de gröna,Group of the Greens/European Free Alliance,Member
Mairead McGUINNESS,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Substitute
Maria GRAPINI,Romania,Partidul Conservator,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Alessandra MUSSOLINI,Italy,Alternativa sociale: Lista Mussolini,Group of the European People's Party (Christian Democrats),Member
Jutta STEINRUCK,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Eugen FREUND,Austria,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Zoltán BALCZÓ,Hungary,Jobbik Magyarországért Mozgalom,Non-attached Members,Member
Péter NIEDERMÜLLER,Hungary,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Heidi HAUTALA,Finland,Vihreät,Group of the Greens/European Free Alliance,Substitute
Andrejs MAMIKINS,Latvia,"""Saskaņa"" sociāldemokrātiskā partija",Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Marco ZULLO,Italy,Movimento 5 Stelle,Renew Europe Group,Substitute
Miroslav POCHE,Czechia,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Lola SÁNCHEZ CALDENTEY,Spain,PODEMOS,Confederal Group of the European United Left - Nordic Green Left,Substitute
Morten MESSERSCHMIDT,Denmark,Dansk Folkeparti,European Conservatives and Reformists Group,Substitute
Nathalie GRIESBECK,France,Union pour la démocratie française,Group of the Alliance of Liberals and Democrats for Europe,Chair
Momchil NEKOV,Bulgaria,Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Dan NICA,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Pavel TELIČKA,Czechia,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe,Member
Jonás FERNÁNDEZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Brian HAYES,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Vice-Chair
Jean-Luc SCHAFFHAUSER,France,Rassemblement bleu Marine,Europe of Nations and Freedom Group,Member
Lucy ANDERSON,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Karol KARSKI,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Substitute
Gerolf ANNEMANS,Belgium,Vlaams Belang,Patriots for Europe Group,Substitute
Maria SPYRAKI,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Substitute
Monika HOHLMEIER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),Vice-Chair
Rosa ESTARÀS FERRAGUT,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Jean-Luc MÉLENCHON,France,Front de gauche pour changer d’Europe,Confederal Group of the European United Left - Nordic Green Left,Member
Pervenche BERÈS,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Richard HOWITT,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Krisztina MORVAI,Hungary,Jobbik Magyarországért Mozgalom,Non-attached Members,Member
Bart STAES,Belgium,Volksunie,Group of the Greens/European Free Alliance,Member
Pina PICIERNO,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
António MARINHO E PINTO,Portugal,Partido da Terra,Group of the Alliance of Liberals and Democrats for Europe,Member
Andrea COZZOLINO,Italy,Partito Democratico,Non-attached Members,Member
Cecilia WIKSTRÖM,Sweden,Folkpartiet liberalerna,Group of the Alliance of Liberals and Democrats for Europe,Chair
Elly SCHLEIN,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Evelyn REGNER,Austria,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Massimiliano SALINI,Italy,Unione di Centro,Group of the European People's Party (Christian Democrats),Member
Terry REINTKE,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
Eleni THEOCHAROUS,Cyprus,Dimocraticos Synagermos,European Conservatives and Reformists Group,Member
Deirdre CLUNE,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Substitute
Sylvie GUILLAUME,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Franz OBERMAYR,Austria,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,Substitute
Costas MAVRIDES,Cyprus,Democratic Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Ramón JÁUREGUI ATONDO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Marc JOULAUD,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Dario TAMBURRANO,Italy,Movimento 5 Stelle,The Left group in the European Parliament - GUE/NGL,Member
Csaba SÓGOR,Romania,Uniunea Democrată Maghiară din România,Group of the European People's Party (Christian Democrats),Substitute
Patricija ŠULIN,Slovenia,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),Substitute
Gérard DEPREZ,Belgium,Parti social-chrétien (Parti populaire européen),Group of the Alliance of Liberals and Democrats for Europe,Member
Davor ŠKRLEC,Croatia,Održivi razvoj Hrvatske,Group of the Greens/European Free Alliance,Member
Ruža TOMAŠIĆ,Croatia,Hrvatska stranka prava dr. Ante Starčević,European Conservatives and Reformists Group,Member
Cécile Kashetu KYENGE,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Syed KAMALL,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Substitute
Ernest MARAGALL,Spain,Nova Esquerra Catalana,Group of the Greens/European Free Alliance,Substitute
Gabrielius LANDSBERGIS,Lithuania,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats),Member
Isabella ADINOLFI,Italy,Movimento 5 Stelle,Group of the European People's Party (Christian Democrats),Member
Neena GILL,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Eduard KUKAN,Slovakia,Slovenská demokratická a kresťanská únia - Demokratická strana,Group of the European People's Party (Christian Democrats),Member
Francisco ASSIS,Portugal,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Martina ANDERSON,United Kingdom,Sinn Féin,Group of the European United Left - Nordic Green Left,Substitute
Anna FOTYGA,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Member
Iliana IOTOVA,Bulgaria,Platform European Socialists,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Daniela AIUTO,Italy,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,Member
Andrey KOVATCHEV,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Substitute
Liisa JAAKONSAARI,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Ashley FOX,United Kingdom,Conservative Party,European Conservatives and Reformists Group,Member
Frédérique RIES,Belgium,Parti réformateur libéral/Front démocratique des francophones,Renew Europe Group,Substitute
Petr JEŽEK,Czechia,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe,Chair
Barbara KAPPEL,Austria,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,Member
Yannick JADOT,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Birgit SIPPEL,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Francisco de Paula GAMBUS MILLET,Spain,Unió Democràtica de Catalunya,Group of the European People's Party (Christian Democrats),Member
Timothy Charles Ayrton TANNOCK,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Substitute
Josu JUARISTI ABAUNZ,Spain,EH BILDU,Confederal Group of the European United Left - Nordic Green Left,Substitute
Eider GARDIAZABAL RUBIAL,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Salvatore Domenico POGLIESE,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Member
Marlene MIZZI,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Harald VILIMSKY,Austria,Freiheitliche Partei Österreichs,Patriots for Europe Group,Member
Isabella DE MONTE,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Igor ŠOLTES,Slovenia,Verjamem! Lista dr. Igorja Šoltesa,Group of the Greens/European Free Alliance,Member
Ramon TREMOSA i BALCELLS,Spain,Coalición por Europa,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Dubravka ŠUICA,Croatia,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),Substitute
Lampros FOUNTOULIS,Greece,Popular Association – Golden Dawn,Non-attached Members,Substitute
Fabio Massimo CASTALDO,Italy,Movimento 5 Stelle,Renew Europe Group,Member
Kostas PAPADAKIS,Greece,Communist Party of Greece,Non-attached Members,Member
Vladimir URUTCHEV,Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),Member
Emmanuel MAUREL,France,Parti socialiste,The Left group in the European Parliament - GUE/NGL,Substitute
Petr MACH,Czechia,Strana svobodných občanů,Europe of Freedom and Direct Democracy Group,Member
Philippe LOISEAU,France,Front national,Europe of Nations and Freedom Group,Member
Eva JOLY,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Ilhan KYUCHYUK,Bulgaria,Movement for Rights and Freedoms,Renew Europe Group,Substitute
Anneliese DODDS,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Eric ANDRIEU,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Franc BOGOVIČ,Slovenia,Slovenska ljudska stranka,Group of the European People's Party (Christian Democrats),Substitute
Linnéa ENGSTRÖM,Sweden,Miljöpartiet de gröna,Group of the Greens/European Free Alliance,Vice-Chair
David COBURN,United Kingdom,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,Substitute
Kostas CHRYSOGONOS,Greece,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,Member
